sum,term,name,pecentage,image,month
72000000,3,Банк «Санкт-Петербург»,"от 10,9%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a6021.svg?v=0.ee,2 353 779 ₽/мес
72000000,7,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,1 221 487 ₽/мес
72000000,7,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,1 259 474 ₽/мес
72000000,7,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,1 031 229 ₽/мес
72000000,7,Банк «Санкт-Петербург»,"от 10,9%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a6021.svg?v=0.ee,1 229 032 ₽/мес
71000000,28,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
71000000,28,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
71000000,28,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,300 000 ₽ – 100 млн ₽
71000000,28,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,от 300 000 ₽
72000000,8,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,1 119 389 ₽/мес
72000000,8,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,1 158 369 ₽/мес
72000000,8,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,925 288 ₽/мес
72000000,8,Банк «Санкт-Петербург»,"от 10,9%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a6021.svg?v=0.ee,1 127 126 ₽/мес
72000000,9,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,1 041 157 ₽/мес
72000000,9,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,1 081 120 ₽/мес
72000000,9,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,843 207 ₽/мес
72000000,9,Банк «Санкт-Петербург»,"от 10,9%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a6021.svg?v=0.ee,1 049 085 ₽/мес
72000000,11,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
72000000,11,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
72000000,11,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,300 000 ₽ – 100 млн ₽
72000000,11,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,от 300 000 ₽
72000000,10,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,979 612 ₽/мес
72000000,10,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,1 020 542 ₽/мес
72000000,10,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,777 826 ₽/мес
72000000,10,Банк «Санкт-Петербург»,"от 10,9%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a6021.svg?v=0.ee,987 728 ₽/мес
72000000,12,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,889 822 ₽/мес
72000000,12,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,932 628 ₽/мес
72000000,12,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,680 460 ₽/мес
72000000,12,Банк «Санкт-Петербург»,"от 10,9%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a6021.svg?v=0.ee,898 303 ₽/мес
72000000,15,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,804 837 ₽/мес
