district,four_room,image,multiroom,name,one_room,room_types,studio,three_room,two_room
Левобережный,52345000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5fc90d50bd07c.jpg,-1,ЖК «Фестиваль парк-2»,-1,"two_room,three_room,four_room",-1,32652000,23900000
Проспект Вернадского,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/624ef81597b14.jpg,-1,ЖК «Full House»,20886000,"one_room,two_room,three_room",-1,47700000,30629000
Очаково-Матвеевское,21637000,https://st.novostroy.ru/regions/u/b/g/box_orig/60fe977baaf80.jpg,-1,ЖК «Заречье Парк»,8477000,"studio,one_room,two_room,three_room,four_room",6800000,13022000,10677000
Одинцовский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5e86f714418e9.jpg,-1,МЖК «Одинцовские кварталы»,5092000,"one_room,two_room,three_room",-1,10736000,6636000
Северное Медведково,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/63593bfd7e5c5.jpg,-1,ЖК «Полярная 25»,9479000,"studio,one_room,two_room,three_room",6040000,15455000,11799000
Южное Бутово,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5f3a7f7443b12.jpg,-1,ЖК «Новая Щербинка»,6186000,"studio,one_room,two_room,three_room",4504000,9694000,8815000
Покровское-Стрешнево,23367000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5d6e594dc932f.jpg,55828000,Апарт-отель «Level Стрешнево»,6509000,"one_room,two_room,three_room,four_room,multiroom",-1,14693000,10864000
Даниловский,29236700,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/61e56a32b750d.jpg,-1,МФК «Ривер Парк»,15503000,"one_room,two_room,three_room,four_room",-1,23815000,20570900
Хорошёво-Мнёвники,54396000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/61b7027ee39f4.jpg,-1,ЖК «Береговой 2»,17148000,"one_room,two_room,three_room,four_room",-1,37834000,26804000
Измайлово,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/wm_5e9aefcc0f1c4.jpg,-1,МФК «Парковая Лофт»,9155000,"studio,one_room,two_room,three_room",7230000,12669000,10500000
Даниловский,45806000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5ee750a3d3aee.jpg,82591600,ЖК «Foriver»,23360800,"one_room,two_room,three_room,four_room,multiroom",-1,33639800,22491000
Западное Дегунино,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/62e103bfaf14d.png,-1,ЖК «Дмитровское небо»,7850000,"studio,one_room,two_room,three_room",8358000,22516000,15728000
Чертаново Южное,21058000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5f998b0823141.jpg,-1,ЖК «Зеленая вертикаль»,10300000,"studio,one_room,two_room,three_room,four_room",10500000,16200000,14515000
Сокольники,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/635a925768b9a.jpg,-1,Апарт-отель «Сокольнический Вал 1»,7725000,"studio,one_room,two_room",6085000,-1,11364000
Марьина Роща,21953900,https://st.novostroy.ru/regions/u/b/g/box_orig/63498ad4425ea.jpg,-1,Апарт-отель «MirrorЗдание»,9419000,"studio,one_room,two_room,three_room,four_room",6535900,13689400,9279300
Очаково-Матвеевское,22095000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/635a7567bf25d.jpg,-1,ЖК «Vangarden»,10770000,"studio,one_room,two_room,three_room,four_room",7933000,20781000,14278000
Очаково-Матвеевское,101385000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5cd814d36cf0a.jpg,132883000,ЖК «Река»,42049000,"one_room,two_room,three_room,four_room,multiroom",-1,86755000,56507000
Люберецкий,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5f7de0218bf49.jpg,-1,ЖК «Героев»,5216000,"studio,one_room,two_room,three_room",4771000,9237000,7251000
Ярославский,33097000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6019147857a23.jpg,-1,ЖК «AFI Tower»,18213000,"studio,one_room,two_room,three_room,four_room",9637000,29082000,19633000
Химки,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5e58efa78ff3d.jpg,-1,ЖК «Бригантина»,-1,"studio,two_room,three_room",6365000,9820000,6419000
Филимонковское,12678000,https://st.novostroy.ru/regions/u/b/g/box_orig/62ceca3224f6c.png,-1,ЖК «Цветочные поляны Экопарк»,5338000,"studio,one_room,two_room,three_room,four_room",4642000,7519000,6128000
Чертаново Южное,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/635a8d99c7a8e.jpg,-1,ЖК «Ютаново»,7511000,"studio,one_room,two_room,three_room",5371000,13239000,8943000
Дмитровский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5d68f71960250.jpg,-1,ЖК «Летний сад»,12633000,"studio,one_room,two_room,three_room",10622000,23889000,16955000
Одинцовский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/635fe18b532bf.jpg,-1,ЖК «Одинцово-1»,4384000,"studio,one_room,two_room,three_room",4340000,8948000,6082000
Очаково-Матвеевское,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/637e1819e1548.jpg,-1,ЖК «Крылья»,-1,"studio,two_room,three_room",22532000,37923000,31457000
Останкинский,59210000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6262721557d07.jpg,81368000,МФК «Серебряный фонтан»,24339000,"one_room,two_room,three_room,four_room,multiroom",-1,44595000,32000000
Савёловский,49488000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/60e70db4a0995.jpg,-1,ЖК «Symphony 34»,14216000,"studio,one_room,two_room,three_room,four_room",12278000,27535000,20175000
Филёвский Парк,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/615dbad83a9ac.jpg,-1,ЖК «Famous»,20126000,"one_room,two_room,three_room",-1,46136000,27428000
Даниловский,39030000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/62626a9f89ca1.jpg,59644000,ЖК «Voxhall»,20041000,"studio,one_room,two_room,three_room,four_room,multiroom",12329000,38938000,25336000
Филёвский Парк,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5fb7947983906.jpg,-1,ЖК «Filicity»,-1,"two_room,three_room",-1,38417000,42715000
Южное Бутово,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5f3e811375bfd.jpg,-1,ЖК «Бутово парк 2»,5750000,"studio,one_room,two_room,three_room",4450000,9192000,6176000
Раменки,42394000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/630ccd0386069.jpg,66660000,ЖК «Событие»,20116000,"studio,one_room,two_room,three_room,four_room,multiroom",13370000,36294000,27020000
Люберецкий,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/635fc8e049c22.jpg,-1,ЖК «Жулебино парк»,6741000,"studio,one_room,two_room,three_room",4772000,12337000,8778000
Ленинский,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/627bc0c38c98c.jpg,-1,ЖК «Эко Видное 2.0»,4874000,"studio,one_room,two_room,three_room",4401000,9631000,8079000
Нагатино-Садовники,36783000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/625555297953a.jpg,86675000,ЖК «Жилой квартал Shagal»,15138000,"studio,one_room,two_room,three_room,four_room,multiroom",12769000,24554000,19375000
Крылатское,45563000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6268fd587151f.jpg,74152000,ЖК «Остров»,20041000,"studio,one_room,two_room,three_room,four_room,multiroom",17494000,32740000,28700000
Останкинский,26116000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/620cf4e72f224.jpg,44703000,ЖК «iLove»,10592000,"one_room,two_room,three_room,four_room,multiroom",-1,19495000,15890000
Марьина Роща,42404000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/62f6383d7164d.jpg,-1,ЖК «MOD»,16023000,"studio,one_room,two_room,three_room,four_room",11413000,24300000,17100000
Красногорский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6357eaa68cb88.jpg,-1,ЖК «Ильинские луга»,5670000,"studio,one_room,two_room,three_room",4113000,9711000,5781000
Дорогомилово,107800000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5c9daaa68498f.png,130500000,ЖК «Capital Towers»,46200000,"one_room,two_room,three_room,four_room,multiroom",-1,85640000,61300000
Нагатинский Затон,37822000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/637e03750eeed.jpg,56481000,ЖК «Nagatino i-Land»,15844000,"studio,one_room,two_room,three_room,four_room,multiroom",13483000,30248000,23775000
Одинцовский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5cecf242381ad.jpg,-1,ЖК «Центральный» (Одинцово),6352500,"one_room,two_room,three_room",-1,13280000,8768000
Ленинский,15007800,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/56d95bae3f443.jpg,-1,ЖК «Видный город»,8364500,"one_room,two_room,three_room,four_room",-1,13399800,8945900
Красногорский,9588700,https://st.novostroy.ru/regions/u/b/g/box_orig/5968daf6bb7f6.jpg,21202000,ЖК «Лесобережный»,9829800,"one_room,two_room,three_room,four_room,multiroom",-1,8616500,9449700
Ленинский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/552fa0d5b0f00.jpg,-1,МЖК «Булатниково»,4000000,one_room,-1,-1,-1
Люберецкий,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5dfb86edd67d7.jpg,-1,ЖК «Новые Островцы»,3438000,"one_room,two_room,three_room",-1,8898000,5961000
Одинцовский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/53fdd445d2db0.jpg,-1,ЖК «Высокие жаворонки»,4622000,one_room,-1,-1,-1
Одинцовский,10059700,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5968de2a92e61.jpg,11247900,ЖК Город-событие «Лайково»,4773400,"one_room,two_room,three_room,four_room,multiroom",-1,9272600,6691900
Раменки,143000000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5979ac1cd7bb7.jpg,280449000,ЖК «Snegiri Eco»,-1,"three_room,four_room,multiroom",-1,74500000,-1
Хорошёво-Мнёвники,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/wm_5c139a9ac027f.jpg,-1,ЖК «Утёсов»,-1,three_room,-1,40255000,-1
Серпуховский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6026765435c4b.jpg,-1,ЖК «Микрорайон в Большевике»,3620000,"one_room,two_room,three_room",-1,6280000,4880000
Даниловский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/62418b1b8427d.jpg,-1,Апарт-отель «Vernissage»,-1,"two_room,three_room",-1,58650000,26810000
Домодедово,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/56b87d5505094.jpg,-1,ЖК «ДОМодедово Парк»,3685000,"one_room,two_room",-1,-1,6122000
Богородское,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5e8db3cc896bb.jpg,-1,ЖК «Вдохновение»,10900000,"one_room,two_room,three_room",-1,20960000,16240000
Головинский,28440000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5ce407883f8a3.jpg,-1,ЖК «Невский»,9599000,"one_room,two_room,four_room",-1,-1,11312000
Ногинский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5e678fd4ebff2.jpg,-1,ЖК «Лесная поляна»,3673300,"one_room,two_room,three_room",-1,7306200,4502300
Ленинский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6023c0f432fc2.jpg,-1,ЖК «Первый квартал»,7350000,"studio,one_room,two_room",4550000,-1,10600000
Замоскворечье,720251000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/607fed18c7a66.jpg,-1,МФК «Царев сад»,195214000,"one_room,two_room,three_room,four_room",-1,508421000,224123000
Таганский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5e4e9b04a7e00.jpg,-1,МФК «Monodom family»,-1,"two_room,three_room",-1,24022000,19238000
Ногинский,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/5810ae3cda8db.jpg,-1,ЖК «Мой город»,3400000,"one_room,two_room,three_room",-1,6458000,4378000
Красногорский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/601abad2cca86.jpg,-1,МЖК Клубный дом «Точка отсчета»,19568800,"studio,one_room,two_room,three_room",16353000,25397000,23065200
Мещанский,270745000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5eecacc389457.jpg,384100000,ЖК «Turgenev»,145230000,"one_room,two_room,three_room,four_room,multiroom",-1,223840000,162980000
Пушкинский,8326300,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5e7b139f16b57.jpg,-1,ЖК «Южное Пушкино»,6129100,"one_room,two_room,three_room,four_room",-1,7495600,5883700
Замоскворечье,50433600,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5fbcdcddcc2fc.jpg,-1,ЖК «Sky House»,-1,"two_room,three_room,four_room",-1,37674000,27459000
Мещанский,71366000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5e451a9e8a0bb.jpg,-1,ЖК «Dialog»,25228000,"studio,one_room,two_room,three_room,four_room",22617000,50877000,39883000
Первомайское,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/56e7daeb28323.jpg,-1,ЖК «Эдельвейс» (ЦентрСтрой),6206000,"one_room,two_room,three_room",-1,9211200,7412500
Ярославский,17476700,https://st.novostroy.ru/regions/u/b/g/box_orig/570d229bceb4a.jpg,26537100,Апарт-отель «Клубный дом на Менжинского»,6030600,"one_room,two_room,four_room,multiroom",-1,-1,8135600
Пресненский,151690000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6061d6fe79f69.jpg,253740000,Апарт-отель «Sky View»,-1,"two_room,three_room,four_room,multiroom",-1,108230000,91450000
Наро-Фоминский,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/594bbbe6048b1.jpg,-1,МЖК «Парк Апрель»,5050000,"one_room,two_room",-1,-1,8850000
Мытищинский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5ced3e86d073c.jpg,8326900,МЖК «Экодолье Шолохово»,-1,multiroom,-1,-1,-1
Раменки,53733500,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/600aea29e89d1.png,-1,ЖК «Will Towers»,20287700,"studio,one_room,two_room,three_room,four_room",12302000,38136500,28813400
Таганский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5c372f4cc59a6.jpg,-1,Апарт-отель «Дом Chkalov»,25000000,"one_room,two_room,three_room",-1,60788000,24950000
Ногинский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/58173cd550e39.jpg,-1,ЖК «Истомкино Парк»,3200000,"studio,one_room,two_room,three_room",3260000,7200000,5200000
Даниловский,75896000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5cf635f500b16.jpg,-1,ЖК «RiverSky»,21437400,"one_room,two_room,three_room,four_room",-1,41142000,30336100
Одинцовский,31122000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5f9fcf968ecbf.jpg,-1,ЖК «Stellar City»,11150400,"studio,one_room,two_room,three_room,four_room",8519300,19340100,10225800
Троицк,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5e8de9a89f6c4.jpg,-1,ЖК «Russian Design District»,10007500,"studio,one_room,two_room,three_room",8735200,19553200,14936400
Хорошёвский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5eeca53cec548.jpg,-1,ЖК «Династия»,25020000,"one_room,two_room,three_room",-1,41356000,30045000
Кунцево,14660400,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5fc0d42e49ac7.jpg,-1,МФК «Спутник»,6592600,"studio,one_room,two_room,three_room,four_room",5456600,11035500,7892300
Очаково-Матвеевское,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/62e2472245623.jpg,-1,Апарт-отель «New Form Аминьевское»,-1,studio,3267500,-1,-1
Митино,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/635918b09ea8f.jpg,-1,ЖК «Митинский лес»,6778000,"studio,one_room,two_room,three_room",4545000,11567000,9189000
Хорошёво-Мнёвники,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5cd6cbf20b3bb.jpg,258500000,МФК «River Residences в Серебряном Бору»,-1,"two_room,three_room,multiroom",-1,129200000,90200000
Подольский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5b855d6ead20b.jpg,-1,ЖК «Шепчинки»,-1,two_room,-1,-1,9900000
Московский,17948000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6025528d317c4.png,-1,ЖК «Первый Московский»,6534000,"studio,one_room,two_room,three_room,four_room",6070000,11628000,8608000
Солнечногорский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/600fd5d04d188.jpg,-1,ЖК «Никольская Панорама»,-1,two_room,-1,-1,10020000
Кокошкино,11900000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/57a0d3cb93f63.jpg,-1,ЖК «Внуково Парк-2»,-1,"two_room,three_room,four_room",-1,12300000,9000000
Коптево,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5d9ca1ab2590a.jpg,-1,ЖК «Бульвар Матроса Железняка 11»,13982500,"one_room,two_room,three_room",-1,17719000,16990500
Якиманка,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5eb891ed6508a.jpg,-1,ЖК «Titul на Якиманке»,78102000,"one_room,two_room",-1,-1,126050000
Одинцовский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/60549972b9992.jpg,-1,ЖК «Сердце Одинцово»,8200000,one_room,-1,-1,-1
Гольяново,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5d9c95fa7c007.png,-1,ЖК «Измайловский проезд 22-1»,10774500,"studio,one_room,two_room",20114400,-1,16864200
Якиманка,167521000,https://st.novostroy.ru/regions/u/b/g/box_orig/5d933d0dd4396.png,-1,"ЖК «Полянка, 44»",-1,"two_room,four_room",-1,-1,66000000
Дмитровский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5861540d0f44a.jpg,-1,МЖК «Терра»,4100000,"one_room,two_room,three_room",-1,8600000,6500000
Клинский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6078109183dda.png,-1,ЖК «Майданово Парк»,3321700,"one_room,two_room",-1,-1,6454350
Беговой,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5db6e3c4551b4.jpg,-1,Апарт-отель «Din Haus»,17259400,"one_room,two_room",-1,-1,25561000
Щёлковский,13125000,https://st.novostroy.ru/regions/u/b/g/box_orig/581b1dc41ab8b.jpg,-1,ЖК «Центральный» (Щелково),-1,"two_room,three_room,four_room",-1,7035000,5968000
Балашиха,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5ced5b05538a5.jpg,-1,ЖК «Эдельвейс Комфорт»,6481700,"one_room,two_room,three_room",-1,11757300,10787200
Пущино,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/602fa3c4d9094.jpg,-1,ЖК «Северное сияние (Руза)»,4797000,"one_room,two_room,three_room",-1,7110000,6597000
Тверской,385020000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5cefe42b443c7.jpg,-1,МФК «Fairmont Vesper Residences»,-1,"two_room,three_room,four_room",-1,266870000,179786000
Савёловский,33389000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5f7af0876fc62.jpg,-1,МФК «Правда»,12856000,"one_room,two_room,three_room,four_room",-1,31126000,17120000
Подольский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5c91ffc0617a3.jpg,-1,ЖК «Народный»,-1,three_room,-1,11000000,-1
Арбат,475000000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5d6f7e957c6c1.jpg,1000000000,ЖК «High Garden»,-1,"two_room,three_room,four_room,multiroom",-1,305500000,272000000
Отрадное,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/60487fe78e27a.jpg,-1,МФК «Легендарный квартал на Ботаническом саду»,9250600,"studio,one_room,two_room,three_room",7202300,20817000,12302500
Десёновское,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/52ef4bc897e83.jpg,-1,МЖК «Андерсен»,6800000,"one_room,three_room",-1,13800000,-1
Тверской,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5d4be430c3119.jpg,737250000,ЖК «Lion Gate»,-1,multiroom,-1,-1,-1
Химки,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/585953388b2b0.jpg,-1,"МЖК «на Микояна, 54-57»",2740220,"studio,one_room,two_room,three_room",3055200,5670770,3940540
Балашиха,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5dfca94746474.jpg,-1,ЖК «Новокосино-2»,6000000,"studio,one_room",7170000,-1,-1
Хорошёвский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5fd9fb9c7672d.jpg,-1,МФК «Зорге 9»,10100000,"studio,one_room,two_room,three_room",12393000,30637000,25780000
Московский,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/603631fbe3418.png,-1,МФК «Живой комплекс LES»,15583400,"one_room,two_room",-1,-1,20426100
Домодедово,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/595a2af11fd8e.png,-1,ЖК «Ледово»,4058200,"studio,one_room,two_room,three_room",3693600,6694500,5342200
