district,four_room,image,multiroom,name,one_room,room_types,studio,three_room,two_room
Нагорный,29218000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5b3df1bc613df.png,-1,ЖК «LIFE-Варшавская»,12800000,"studio,one_room,two_room,three_room,four_room",11132000,24653000,17000000
Люберецкий,12610000,https://st.novostroy.ru/regions/u/b/g/box_orig/62f1004c0b6a8.jpg,-1,МФК «Liberty»,5361000,"studio,one_room,two_room,three_room,four_room",3744000,13986000,8026000
Западное Дегунино,20660000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6001762ae0d3c.png,-1,ЖК «Тринити-2»,8212000,"studio,one_room,two_room,three_room,four_room",5498000,19909000,12644000
Щукино,29500000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5de0f55234697.jpg,-1,ЖК «Октябрьское поле»,11718000,"studio,one_room,two_room,three_room,four_room",8362000,22165000,15345000
Южнопортовый,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6360c8a924edb.jpg,-1,ЖК «Первый Дубровский»,9688000,"studio,one_room,two_room,three_room",6771000,16785000,12502000
Люберецкий,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5cebf4138e4ce.jpg,-1,ЖК «Карамельный»,3375000,"one_room,two_room,three_room",-1,5611000,4865000
Дмитровский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6360bc9a9cb9d.jpg,-1,ЖК «Бусиновский парк»,7725000,"studio,one_room,two_room,three_room",5783000,14845000,10862000
Ленинский,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/6179178742aad.jpg,-1,ЖК «Никольские луга»,6311000,"studio,one_room,two_room,three_room",4565000,10634000,8679000
Красногорский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/61e7e2d7b8709.png,-1,ЖК «Ильинойс»,5447000,"studio,one_room,two_room,three_room",3799000,9096000,5662000
Люблино,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/63592240e7c0e.jpg,-1,ЖК «Люблинский парк»,6909000,"studio,one_room,two_room,three_room",5013000,12633000,7036000
Красногорский,18788000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5e60ec7253f6e.jpg,-1,ЖК Миниполис «Восемь кленов»,8821900,"one_room,two_room,three_room,four_room",-1,14616000,9598800
Басманный,55248000,https://st.novostroy.ru/regions/u/b/g/box_orig/61012a9f6b3ac.png,55248000,ЖК «MYPRIORITY Basmanny»,-1,"studio,two_room,three_room,four_room,multiroom",11450000,26324000,14694000
Останкинский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/59b156a91c43d.jpg,-1,МФК «Hill8»,-1,"studio,two_room,three_room",16277000,43682000,23500000
Якиманка,228680000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/628e29e4c60bb.jpg,326140000,ЖК «Русские сезоны»,-1,"three_room,four_room,multiroom",-1,255830000,-1
Головинский,26034000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/63591ac46be2e.jpg,-1,ЖК «Кронштадтский 9»,11800000,"studio,one_room,two_room,three_room,four_room",8212000,17295000,12446000
Ленинский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6054c1d34f286.png,-1,МЖК «Живописный»,6334000,"studio,one_room,two_room,three_room",6103000,11357000,7524000
Филёвский Парк,53699000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/611645487633f.jpg,-1,МФК «Сердце Столицы»,13790000,"studio,one_room,two_room,three_room,four_room",17442000,35701000,26410000
Покровское-Стрешнево,73556000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/632c6ad430dee.jpg,-1,ЖК «Клубный город на реке Primavera»,17760000,"one_room,two_room,three_room,four_room",-1,34278000,25818000
Сокол,54178000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5c0f9b518cc1e.jpg,81371000,"ЖК «Врубеля, 4»",27539000,"one_room,two_room,three_room,four_room,multiroom",-1,33971000,33268000
Замоскворечье,44525000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5e2570714b309.jpg,-1,ЖК «Павелецкая Сити»,17498000,"studio,one_room,two_room,three_room,four_room",12283000,30619000,22834000
Московский,16247500,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6282497709b04.jpg,-1,ЖК «МелиСад»,7500000,"studio,one_room,two_room,three_room,four_room",6274900,11857700,7700000
